Property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket,Over_ave_price
24781,-37.668928,144.954306,5 Russell Street,CAMPBELLFIELD,5005000,house,2013,3,1,2,SC_072,3.477,19960,0.7383,0,hospital_104,3.6107,S_161,2.3198,True
83863,-37.854747,145.003073,31 Bowen Street,PRAHRAN,15120000,house,2015,2,1,2,SC_066,1.1767,19957,0.981,11,hospital_012,0.3793,S_115,0.7706,True
24817,-37.680375,144.96633300000005,7  Keown Court,CAMPBELLFIELD,4095000,house,2016,3,1,1,SC_072,5.0975,19960,2.348,0,hospital_139,4.995,S_161,1.2422,False
47128,-37.697216,145.161582,4  Marion Way,ELTHAM,6030000,house,2014,4,2,2,SC_051,2.6264,19987,2.1851,44,hospital_075,4.9856,S_194,2.0046,False
46290,-37.7269783,145.1325378,93 Buena Vista Drive,MONTMORENCY,9333000,house,2009,4,3,0,SC_009,5.5962,19986,1.6226,40,hospital_075,3.381,S_194,2.6085,True
58473,-37.809341,145.178781,10 Efron Street,NUNAWADING,8100000,house,2014,4,2,2,SC_088,1.1136,19899,1.2995,0,hospital_070,1.3229,S_202,1.6373,False
52194,-37.823278,145.013352,12 Campbell Street,RICHMOND,7139000,house,2012,2,1,0,SC_038,1.9765,19906,0.6979,10,hospital_122,0.9289,S_102,1.9525,False
67080,-37.770073,145.363357,15A David Road,LILYDALE,4740000,house,2014,3,1,0,SC_084,4.5473,19876,2.1263,0,hospital_113,1.1748,S_081,1.6561,False
87028,-37.921883,144.99731699999995,7 Exon Street,BRIGHTON,28730000,house,2015,4,2,2,SC_046,4.1014,19951,0.7565,22,hospital_156,1.2342,S_009,0.7471,True
31387,-37.754635,145.01033,62A Pender Street,THORNBURY,9620000,house,2010,3,1,1,SC_103,1.8306,20014,1.0359,0,hospital_035,0.9468,S_105,0.7107,True
212,-37.78922100000001,144.886803,11 Maddock Street,FOOTSCRAY,7700000,house,2014,3,1,1,SC_085,1.7706,20023,1.4072,19,hospital_003,0.3925,S_201,1.618,False
87865,-37.937951,145.018342,6 Weeroona St,HAMPTON,12415000,house,2014,3,1,0,SC_046,1.7644,19949,1.4812,27,hospital_036,1.3775,S_214,0.8949,False
38568,-37.770284,145.04374099999995,12 John Street,IVANHOE,13310000,house,2014,3,1,1,SC_001,0.3147,19933,0.214,22,hospital_039,1.3761,S_219,0.2879,True
78273,-37.932345,145.15803799999995,62 Lebanon Crescent,MULGRAVE,8959000,house,2011,3,2,2,SC_073,3.7999,19914,1.8197,42,hospital_076,3.4939,S_075,2.4195,True
39370,-37.70279,145.058111,10 Edro Court,BUNDOORA,7980000,house,2016,5,2,2,SC_047,4.6727,19984,2.4377,34,hospital_037,0.1354,S_155,0.5378,True
68916,-37.861893,145.037578,20 Dixon Street,MALVERN,19560000,house,2015,3,1,0,SC_023,1.6588,19944,0.875,19,hospital_183,0.2529,S_235,0.7842,True
4518,-37.83811951,144.8765869,"5/45 Oxford Street,",NEWPORT,2090000,house,2009,1,1,2,SC_033,2.9157,19994,0.8013,20,hospital_141,3.0057,S_056,2.6672,False
406,-37.803627,144.886872,16 Scott Street,SEDDON,10450000,house,2014,3,2,2,SC_043,2.4916,20023,0.2439,19,hospital_056,1.1698,S_201,1.0308,True
86083,-37.907445,145.00574,126 Male Street,BRIGHTON,6955000,house,2016,5,3,2,SC_046,4.5748,19952,0.3961,20,hospital_156,1.3357,S_151,0.1458,False
84695,-37.88471985,144.99104309999996,17 Foam Street,ELWOOD,11830000,house,2008,2,2,2,SC_015,2.0021,19954,0.8658,17,hospital_116,1.6105,S_133,1.3159,False
69076,-37.8651739,145.0358438,32 Cummins Grove,MALVERN,14200000,house,2011,3,2,2,SC_023,1.3735,19944,0.588,19,hospital_183,0.3553,S_013,0.8093,False
7805,-37.778284,144.799996,25 Rockbank Road,ARDEER,7202000,house,2016,2,1,1,SC_102,2.9882,20004,2.175,28,hospital_057,2.3562,S_130,2.2147,False
40066,-37.70990753,145.05235290000005,22 Barlow Rise,BUNDOORA,9840000,house,2008,4,2,2,SC_047,3.7322,19983,2.3238,31,hospital_037,1.0051,S_155,1.267,True
41808,-37.759682,145.062846,2/42 Castle Street,EAGLEMONT,18760000,house,2015,4,2,2,SC_017,0.6634,19935,0.3471,26,hospital_046,0.3531,S_100,0.4949,True
66306,-37.781906,145.337347,38 Larbert Road,MOOROOLBARK,9720000,house,2012,4,2,2,SC_084,3.3522,19877,2.2173,0,hospital_113,2.6973,S_081,2.6708,True
86272,-37.92705,145.000851,19 Yuille Street,BRIGHTON,10340000,house,2013,4,3,2,SC_046,3.5716,19950,1.029,24,hospital_036,1.7303,S_088,1.1294,False
56021,-37.844166,145.08733999999995,9 Stornoway Road,CAMBERWELL,19910000,house,2014,2,1,3,SC_099,3.3921,19849,1.019,34,hospital_089,1.5928,S_160,1.762,True
34551,-37.692817,144.98335500000005,29 Wattlebird Crescent,RESERVOIR,5580000,house,2014,3,2,2,SC_030,5.29,19961,2.3271,0,hospital_139,3.0444,S_161,2.2398,False
74941,-37.902988,145.056483,29 Elimatta Road,CARNEGIE,12540000,house,2015,3,1,1,SC_041,2.039,19941,1.4819,35,hospital_159,2.3242,S_015,1.7037,True
43449,-37.704562,145.082512,11 Regis Court,WATSONIA,5100000,house,2011,4,1,2,SC_017,5.8311,19984,0.7209,34,hospital_075,2.0579,S_020,1.546,False
20238,-37.796685,144.97204,87 Palmerston Street,CARLTON,7137000,house,2012,3,1,1,SC_008,1.6988,19843,1.6014,7,hospital_188,0.6656,S_200,0.5426,False
42926,-37.726694,145.101692,19 Corandirk Place,YALLAMBIE,9450000,house,2013,4,2,3,SC_017,4.3583,19986,2.1579,40,hospital_075,2.4284,S_020,2.4532,True
68486,-37.85723,145.023814,33 Stuart Street,ARMADALE,9040000,house,2012,2,1,1,SC_038,2.3042,19945,0.4039,23,hospital_092,0.8417,S_235,0.5566,False
6290,-37.78475189,144.83943180000003,18 Cameron Street,SUNSHINE,5100000,house,2009,3,1,1,SC_102,0.5819,20021,0.7141,25,hospital_174,0.9936,S_080,0.6567,False
58362,-37.826197,145.15393500000005,8 Wellington Avenue,BLACKBURN,12320000,house,2015,3,2,2,SC_002,1.7189,19898,0.7642,0,hospital_060,0.7761,S_018,0.8223,True
54310,-37.818202,145.024021,25 Connell Street,HAWTHORN,10200000,house,2012,3,1,2,SC_083,1.048,19905,0.4153,18,hospital_086,0.6194,S_208,1.0249,False
7413,-37.741668,144.774567,307 Main Road West,ALBANVALE,4912000,house,2015,4,1,0,SC_048,3.067,20001,2.1795,36,hospital_057,4.0919,S_070,1.0128,False
17305,-37.705359,144.941562,46 Volga Street,HADFIELD,9380000,house,2014,4,3,2,SC_030,3.1038,19961,1.6113,0,hospital_139,5.1576,S_004,0.31,True
70466,-37.875421,145.094308,10 Collins Street,CHADSTONE,11265000,house,2010,3,2,2,SC_042,0.3262,19839,0.3398,26,hospital_098,1.5183,S_112,1.0008,True
93746,-38.000894,145.091505,9 Francis Street,MORDIALLOC,7865000,house,2010,3,1,2,SC_003,3.32,19863,0.7175,44,hospital_001,1.9974,S_119,0.9027,False
26374,-37.57846832,144.9303894,3 Nottingham Close,CRAIGIEBURN,5040000,house,2009,4,2,2,SC_005,0.9782,40221,2.8384,45,hospital_104,8.0882,S_178,1.758,True
45239,-37.702615,145.095874,51 Lorimer Street,GREENSBOROUGH,7700000,house,2013,4,2,2,SC_062,5.7433,19985,1.0999,38,hospital_075,0.9236,S_020,0.4357,True
2459,-37.808968,144.879054,7/35 Kingsville Street,KINGSVILLE,12560000,house,2016,1,1,1,SC_043,2.2991,20023,0.9692,19,hospital_056,1.8714,S_201,1.9019,True
93991,-38.065288,145.126303,59 Coast Banksia Drive,BONBEACH,7650000,house,2016,4,2,2,SC_070,5.5619,19859,0.6363,51,hospital_096,8.8878,S_077,1.5223,True
88940,-37.94549,145.03165800000005,57 Peterson Street,HIGHETT,7830000,house,2015,3,1,2,SC_046,0.8883,19872,0.9543,41,hospital_110,1.4559,S_214,0.8365,False
8174,-37.76446915,144.78637700000004,17 Minvi Tce,CAIRNLEA,6560000,house,2009,3,2,2,SC_107,4.5322,20003,2.1834,31,hospital_057,2.5142,S_159,0.7323,True
7636,-37.734008,144.825288,76 Driscolls Road,KEALBA,4796000,house,2015,4,2,2,SC_107,1.7431,20002,2.5289,33,hospital_005,3.0824,S_222,1.9866,False
94563,-37.92220800000001,145.02951299999995,10 Hillside Avenue,BENTLEIGH,8700000,house,2012,2,1,2,SC_046,2.0752,19938,0.6171,40,hospital_110,1.3661,S_107,1.145,False
29552,-37.769364,145.010256,17 Hakatere Street,NORTHCOTE,13664000,house,2012,3,1,1,SC_001,2.7795,19929,1.1078,16,hospital_035,0.749,S_105,2.1181,True
64416,-37.7992117,145.2915875,4 Donald Street,CROYDON,6720000,house,2012,2,1,1,SC_022,0.7485,19878,1.054,0,hospital_164,3.3058,S_055,0.7612,False
20730,-37.772706,144.951602,2 Hennessy Street,BRUNSWICK,14140000,house,2014,3,1,3,SC_011,3.3007,19969,0.6756,0,hospital_102,1.0224,S_074,0.8069,True
89240,-37.9610593,145.01288469999997,16 Edward Street,SANDRINGHAM,10350000,house,2014,4,2,2,SC_079,2.8078,19948,1.4001,29,hospital_058,0.525,S_214,1.9213,False
28363,-37.7934761,144.97781369999996,60 Alexandra Parade,FITZROY,5120000,house,2008,5,2,1,SC_008,2.162,19975,1.5943,11,hospital_188,1.2859,S_200,0.5156,False
89864,-37.969298,145.04249,11 Banool Street,CHELTENHAM,16800000,house,2014,4,3,2,SC_079,2.2482,19866,1.0993,37,hospital_055,1.4553,S_023,1.6023,True
89554,-37.959847,145.02536899999996,47 Spring Street,SANDRINGHAM,20720000,house,2016,4,2,2,SC_079,1.8227,19872,1.9274,41,hospital_058,0.6025,S_214,1.6315,True
6589,-37.780774,144.816825,3/15 McLean Street,ALBION,4680000,house,2015,3,1,1,SC_102,1.4835,20004,0.7754,28,hospital_174,1.4232,S_080,1.4347,False
29169,-37.778001,145.013876,1 Linley Court,NORTHCOTE,10725000,house,2011,3,1,2,SC_001,2.7006,19930,0.2967,18,hospital_029,1.5499,S_219,2.6797,False
87969,-37.943027,145.019688,83 David Street,HAMPTON,9273000,house,2012,3,1,2,SC_046,1.6841,19948,1.557,29,hospital_036,1.4038,S_214,0.3415,False
91371,-37.97379,145.040795,2 Comas Road,BEAUMARIS,11200000,house,2012,3,1,2,SC_079,2.7449,19866,1.4458,37,hospital_055,1.2045,S_023,2.0695,False
39433,-37.713482,145.032374,107 Dunne Street,KINGSBURY,6150000,house,2013,3,1,2,SC_047,2.7964,20009,2.1067,0,hospital_025,1.0272,S_225,1.312,True
73238,-37.861,145.263371,20 Dixon Court,BORONIA,6412000,house,2014,3,1,0,SC_049,5.4194,19869,1.8478,0,hospital_002,0.747,S_024,1.8657,True
47397,-37.7102914,145.13927180000005,62 Ryans Road,ELTHAM,9095000,house,2011,3,2,2,SC_051,4.4573,19987,0.8358,44,hospital_075,2.9975,S_194,1.7305,True
17847,-37.69865799,144.91734309999995,9 Rowan Street,GLENROY,4130000,house,2008,3,1,2,SC_059,3.0808,20031,0.4141,34,hospital_184,4.9768,S_209,1.0058,False
55790,-37.83935200000001,145.078082,55 Glyndon Road,CAMBERWELL,14000000,house,2013,4,2,2,SC_099,2.4284,19850,0.5613,32,hospital_168,2.1632,S_160,0.7889,False
1213,-37.806652,144.893109,58 Charles Street,SEDDON,11214000,house,2016,3,1,0,SC_043,3.1333,19997,0.3456,14,hospital_056,1.6232,S_201,0.7861,True
74435,-37.89812469,145.0535889,1/102 Neville Street,CARNEGIE,5775000,house,2009,3,1,1,SC_041,1.5538,19941,1.3519,35,hospital_159,2.922,S_015,1.1885,False
45917,-37.72365189,145.1234283,2/1 Elizabeth Street,MONTMORENCY,7815000,house,2009,3,2,1,SC_009,5.4361,19986,0.9452,40,hospital_075,2.5773,S_210,2.9334,False
17453,-37.701783,144.935902,56 Maude Avenue,GLENROY,4308000,house,2014,2,1,3,SC_030,3.6317,20032,1.6736,32,hospital_184,5.264,S_004,0.6346,False
83088,-37.885552,145.255628,2/73 King Parade,KNOXFIELD,7644000,house,2014,3,2,2,SC_049,4.7255,19868,3.5076,0,hospital_049,3.4917,S_027,2.534,True
14733,-37.747012,144.906922,7 Collins Street,ESSENDON,7416000,house,2012,3,1,0,SC_082,1.455,20036,1.234,23,hospital_184,0.5492,S_197,0.4166,False
47115,-37.71866226,145.1499786,38 York Street,ELTHAM,5236000,house,2008,4,2,3,SC_051,5.0817,19987,0.6,44,hospital_075,4.1664,S_194,0.8155,False
15557,-37.744815,144.889917,14 Vaynor Street,NIDDRIE,16650000,house,2016,3,1,1,SC_082,1.8311,20037,2.6276,20,hospital_184,1.3633,S_197,1.8086,True
76891,-37.91618729,145.12428280000003,5 Prince Street,CLAYTON,4376000,house,2008,3,2,2,SC_087,4.8597,19915,1.0013,39,hospital_065,0.3321,S_169,1.1941,False
49158,-37.815651,145.064696,2 Barnsbury Road,DEEPDENE,36260000,house,2010,5,2,2,SC_099,1.131,19892,1.1809,0,hospital_064,1.6363,S_113,1.5925,True
29746,-37.771577,145.008797,23 Thames Street,NORTHCOTE,20640000,house,2016,3,2,3,SC_001,2.9317,19929,0.8486,16,hospital_035,0.9683,S_105,2.3275,True
19448,-37.66526413,144.9365845,454 BARRY ROAD,COOLAROO,8080000,house,2008,3,1,0,SC_072,2.0523,19960,0.8994,0,hospital_104,2.1586,S_153,1.9416,True
68551,-37.857046,145.024621,48 Stuart Street,ARMADALE,19800000,house,2012,4,2,0,SC_038,2.3308,19945,0.4701,23,hospital_092,0.8316,S_235,0.5149,False
4292,-37.838092,144.865522,25 Charlotte Street,NEWPORT,4500000,house,2012,3,1,3,SC_033,2.0826,19994,1.6706,20,hospital_141,3.5436,S_056,1.7039,False
82532,-37.912043,145.254885,11 Trevena Close,ROWVILLE,7540000,house,2013,3,2,2,SC_049,5.0804,19868,4.8973,0,hospital_026,4.7054,S_027,2.5272,False
72199,-37.8501358,145.24932859999996,21 Tamar Street,BAYSWATER,3360000,house,2005,3,1,2,SC_032,4.5353,19870,1.8997,0,hospital_002,1.7603,S_139,1.7376,False
651,-37.802562,144.907528,22/41 Moreland Street,FOOTSCRAY,5440000,house,2015,3,3,2,SC_011,2.3708,20025,0.4148,14,hospital_003,1.9855,S_201,0.8612,False
73151,-37.85405,145.272596,2 Duncan Avenue,BORONIA,4708000,house,2012,3,1,1,SC_049,5.4764,19869,1.2576,0,hospital_002,0.4188,S_139,1.3315,False
76190,-37.90688400000001,145.110376,41 Berkeley Street,HUNTINGDALE,9200000,house,2016,3,1,2,SC_087,3.2586,19916,0.8407,36,hospital_166,0.9327,S_169,2.2414,False
64948,-37.80899,145.272741,9  Morris Road,CROYDON,5840000,house,2014,4,2,2,SC_022,1.4291,19878,1.6594,0,hospital_164,1.5144,S_055,1.3349,False
61279,-37.7860866,145.24822580000003,136 Wonga Road,RINGWOOD,13118000,house,2012,4,3,2,SC_022,3.3902,19879,2.8862,0,hospital_164,2.4981,S_157,1.3769,True
70974,-37.84496689,145.2362824,1 Sullivan Court,WANTIRNA,4680000,house,2008,4,3,2,SC_032,3.6456,19871,1.9905,0,hospital_179,0.9167,S_139,2.6997,False
33647,-37.703384,145.016697,113 Cheddar Road,RESERVOIR,6540000,house,2015,3,1,2,SC_047,4.0942,20009,0.8077,0,hospital_139,2.2775,S_225,2.62,True
34770,-37.713909,144.981652,355 Edwardes Street,RESERVOIR,5840000,house,2010,2,1,1,SC_103,3.3708,19962,1.8604,0,hospital_139,1.5011,S_030,1.7548,False
16966,-37.704915,144.935568,29 Melbourne Avenue,GLENROY,4520000,house,2014,3,2,2,SC_030,3.3178,20032,1.6164,32,hospital_184,4.9525,S_004,0.3648,False
